,address,amount,bank account number,credit card number,credit score,date,driver's license number,email address,fax number,full name,iban,identification number,insurance number,ip address,medical condition,medical treatment,medication,organization,passport number,phone number,social security number,tax identification number,username,NO_ENTITY,MISSED
address,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,176
amount,0,205,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64
bank account number,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
credit card number,0,0,0,162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,52
credit score,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
date,0,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
driver's license number,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
email address,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
fax number,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
full name,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0,0,10,0,0,0,0,6,0,334
iban,0,0,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,43
identification number,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2,0,147
insurance number,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,195
ip address,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,1,0,0,0,0,104
medical condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,2,0,0,0,0,0,0,0,149
medical treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,1,0,0,0,0,0,0,0,103
medication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,119,0,0,0,0,0,0,0,50
organization,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,315,0,0,0,0,0,0,50
passport number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,3
phone number,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,21
social security number,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,158,4,0,0,32
tax identification number,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,54,0,0,163
username,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,193,0,162
NO_ENTITY,128,226,19,14,6,123,7,4,0,183,0,18,4,24,140,50,53,378,1,14,1,3,61,0,0
MISSED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
