,address,amount,bank account number,credit card number,credit score,date,driver's license number,email address,fax number,full name,iban,identification number,insurance number,ip address,medical condition,medical treatment,medication,organization,passport number,phone number,social security number,tax identification number,username,NO_ENTITY,MISSED
address,259,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,164
amount,0,181,2,2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,83
bank account number,0,1,183,3,0,0,0,0,1,0,0,3,3,2,0,0,0,0,0,1,0,0,1,0,36
credit card number,0,2,6,155,1,1,0,0,1,1,3,2,1,1,0,0,1,0,0,4,0,1,0,0,39
credit score,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
date,1,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,241
driver's license number,0,0,1,1,0,0,175,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,1,0,6
email address,0,0,0,0,0,0,0,520,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54
fax number,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
full name,1,0,0,0,0,1,0,1,0,371,0,0,0,0,0,0,0,26,0,0,0,0,9,0,618
iban,1,0,12,6,0,0,0,0,1,0,35,4,1,0,0,1,0,0,0,0,0,0,0,0,18
identification number,0,0,3,0,0,0,3,0,0,2,2,85,6,5,2,0,2,0,1,0,0,1,0,0,62
insurance number,0,1,3,0,0,0,0,0,0,1,0,9,103,1,2,1,2,1,0,1,1,0,0,0,76
ip address,1,0,0,1,0,1,0,0,0,0,0,0,0,81,0,1,0,0,0,3,1,0,0,0,88
medical condition,0,0,0,0,0,0,0,0,0,0,0,1,2,0,204,0,4,0,0,0,0,0,0,0,149
medical treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,0,1,0,0,0,0,0,0,72
medication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,125,0,0,0,0,0,0,0,37
organization,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,0,1,307,0,0,0,0,0,0,52
passport number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,5
phone number,0,1,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,0,368,2,0,3,0,31
social security number,0,1,0,3,0,0,0,0,0,0,1,7,4,3,2,0,0,0,0,2,142,3,0,0,33
tax identification number,0,0,2,0,0,0,20,0,0,0,1,48,3,1,0,0,0,0,0,1,1,51,0,0,92
username,1,0,1,2,0,0,0,7,0,25,0,32,2,3,0,0,4,1,0,0,0,0,178,0,112
NO_ENTITY,121,178,49,25,11,125,41,23,6,75,10,379,39,122,86,33,49,242,2,32,9,13,57,0,0
MISSED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
