,address,amount,bank account number,credit card number,credit score,date,driver's license number,email address,fax number,full name,iban,identification number,insurance number,ip address,medical condition,medical treatment,medication,organization,passport number,phone number,social security number,tax identification number,username,NO_ENTITY,MISSED
address,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,297
amount,0,16,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,247
bank account number,0,28,76,45,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,15,2,1,0,0,63
credit card number,0,2,0,197,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,17
credit score,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
date,0,2,0,0,0,247,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,626
driver's license number,0,1,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,177
email address,0,0,0,0,0,0,0,427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
fax number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,102,0,0,0,0,0
full name,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,5,0,0,0,0,16,0,825
iban,0,0,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,69
identification number,0,11,4,14,2,0,0,0,0,0,2,5,2,0,1,2,0,0,8,7,7,5,0,0,104
insurance number,0,4,11,8,5,0,0,0,0,0,0,0,30,0,1,16,5,29,0,2,4,0,0,0,87
ip address,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
medical condition,0,4,0,0,2,0,0,0,0,0,1,0,1,0,87,5,0,0,0,1,3,0,0,0,256
medical treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,167
medication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0,155
organization,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,82,0,0,0,0,0,0,274
passport number,0,0,0,0,0,0,0,0,0,0,1,69,0,0,8,0,0,0,2,0,0,0,0,0,88
phone number,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,404,0,0,0,0,7
social security number,0,0,3,1,8,0,0,0,0,0,0,0,0,0,3,0,1,0,0,10,167,3,0,0,5
tax identification number,0,1,3,2,3,0,0,0,0,0,10,7,2,1,0,0,0,0,1,8,5,122,0,0,55
username,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,236,0,129
NO_ENTITY,54,159,13,41,21,11,0,52,0,175,19,2,8,0,87,31,3,21,0,49,10,11,132,0,0
MISSED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
