,address,amount,bank account number,credit card number,credit score,date,driver's license number,email address,fax number,full name,iban,identification number,insurance number,ip address,medical condition,medical treatment,medication,organization,passport number,phone number,social security number,tax identification number,username,NO_ENTITY,MISSED
address,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,116
amount,0,130,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,139
bank account number,0,0,197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35
credit card number,0,0,2,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,34
credit score,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
date,0,0,0,0,0,539,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,344
driver's license number,0,0,0,0,0,0,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15
email address,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
fax number,0,0,0,1,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
full name,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,5,0,0,0,0,15,0,618
iban,0,0,16,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,39
identification number,0,0,4,0,0,0,0,0,0,0,0,65,3,1,0,0,0,0,0,0,0,0,0,0,101
insurance number,0,0,1,0,0,0,0,0,0,0,0,16,90,0,0,0,0,0,0,0,1,0,0,0,94
ip address,1,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,82
medical condition,0,0,0,0,0,0,0,0,0,0,0,4,0,0,183,1,0,0,0,0,1,0,0,0,171
medical treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,1,0,0,0,0,0,0,0,109
medication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120,0,0,0,0,0,0,0,52
organization,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,317,0,0,0,0,0,0,48
passport number,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,165,0,0,0,0,0,2
phone number,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,404,0,0,0,0,9
social security number,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,157,4,0,0,38
tax identification number,0,0,1,0,0,0,0,0,0,0,0,27,1,1,0,0,0,0,0,0,0,59,0,0,131
username,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,227,0,133
NO_ENTITY,136,92,104,4,4,51,33,8,0,105,14,127,17,47,169,55,57,222,0,5,1,2,102,0,0
MISSED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
